airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,1171.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,154.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,2435.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,233.0,125.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,21.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,8.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,62.0,13.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,302.0,1026.0
DEN,2024,12,9.99828418230563,39.65068493150685,0.0009000000000000001,7.624750277469478,778.0,5431.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,310.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,89.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,1.0,125.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,32.0,680.0
SFO,2024,12,8.295778910481046,54.51756756756757,34.6365,4.432022084195998,110.0,13.0
LAX,2024,12,7.663917163543441,56.2453074433657,0.1606,4.116833623693379,36.0,125.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,1183.0,680.0
ATL,2024,12,8.920683697265211,48.61857142857143,30.7077,6.778998094811162,12.0,1026.0
DFW,2024,12,8.888662674650698,53.89337676438654,35.8783,6.734679981842941,20437.0,607.0
JFK,2024,12,8.803054054054053,40.35133876600699,33.0588,8.955828668775858,907.0,13.0
MIA,2024,12,9.972011537228928,71.28246073298429,8.1759,6.5729481581009965,182.0,8.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,1315.0,680.0
ORD,2024,12,8.703452355799705,33.531650893796005,10.7029,7.891533230971704,3550.0,680.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,1099.0,1026.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,357.0,13.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,112.0,1026.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,539.0,5431.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,16176.0,607.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,38.0,13.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,503.0,125.0
MIA,2024,11,9.97795292363404,76.61088977423638,4.2741,7.03419908332354,1552.0,8.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,318.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,210.0,13.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,42.0,1026.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,127.0,607.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,83.0,125.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,516.0,13.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,14.0,1026.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,56.0,13.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,10.0,125.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,4114.0,1026.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,841.0,607.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,818.0,13.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,80.0,125.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,36.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,272.0,13.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,95.0,1026.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,3717.0,5431.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,270.0,607.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,58.0,125.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,68.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,2.0,13.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,17.0,5431.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,49.0,125.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,40.0,680.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,42.0,125.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,15.0,1026.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,9440.0,607.0
MIA,2024,11,9.97795292363404,76.61088977423638,4.2741,7.03419908332354,33.0,8.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,650.0,680.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,39.0,607.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,810.0,125.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,89.0,680.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,150.0,1026.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,913.0,607.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,1514.0,1026.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,12178.0,5431.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,14722.0,607.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,361.0,13.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,4275.0,125.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,12000.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,4786.0,13.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,450.0,680.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,151.0,1026.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,1688.0,5431.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,345.0,607.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,211.0,125.0
MIA,2024,11,9.97795292363404,76.61088977423638,4.2741,7.03419908332354,78.0,8.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,590.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,2250.0,13.0
