date,arr_delay,weather_delay,carrier_delay,nas_delay,tmpf,p01i,vsby,arr_flights
2003-06-01,3395.25140562249,227.46586345381527,969.285140562249,1120.4144578313253,,,,536496.0
2003-07-01,4590.197758206566,323.34507606084867,1188.5948759007206,1555.2610088070455,,,,558568.0
2003-08-01,4682.253408179631,353.981555733761,1208.0344827586207,1639.2341619887732,,,,556984.0
2003-09-01,2575.9815261044178,128.76465863453816,671.8939759036144,1065.0530120481928,,,,527714.0
2003-10-01,2455.594703049759,91.2271268057785,749.6661316211878,865.0818619582665,,,,552370.0
2003-11-01,3658.443735035914,198.67198723064644,850.9066241021549,1533.6137270550678,,,,528171.0
2003-12-01,4627.3419811320755,263.9426100628931,1204.2783018867924,1692.8286163522012,,,,555495.0
2004-01-01,4673.023689877961,386.06317300789664,1237.0315865039483,1658.6238334529792,,,,583987.0
2004-02-01,3913.5039941902687,264.51270878721857,966.927378358751,1449.8583877995643,,,,553876.0
2004-03-01,3626.8785454545455,156.14618181818182,937.104,1299.8770909090908,,,,601412.0
2004-04-01,3065.295058139535,139.44040697674419,844.0552325581396,1093.9563953488373,,,,582970.0
2004-05-01,5107.34601316752,387.1016825164594,1113.1572787125092,1949.5362106803218,,,,594457.0
2004-06-01,5869.077469793888,499.26154939587775,1383.130774697939,1954.9367448471926,,,,588792.0
2004-07-01,5380.722814498934,331.8223169864961,1401.369580668088,1732.4655294953802,,,,614166.0
2004-08-01,4778.900213827513,336.3848895224519,1224.9650748396293,1464.3813257305774,,,,623107.0
2004-09-01,2627.077958894401,161.07795889440112,769.1984408221119,897.2487597448618,,,,585125.0
2004-10-01,3431.638450502152,228.890243902439,938.7625538020086,1108.5,,,,610037.0
2004-11-01,4138.556678700361,300.4418772563177,1064.9046931407943,1344.6649819494585,,,,584610.0
2004-12-01,5916.559540889527,427.5121951219512,1651.0186513629842,1643.812769010043,,,,606731.0
2005-01-01,5389.705799151344,425.73691654879775,1462.3649222065064,1678.7263083451203,,,,594923.0
2005-02-01,3947.287878787879,227.88455988455988,1076.949494949495,1353.9004329004329,,,,545332.0
2005-03-01,4892.645878136201,270.72903225806454,1324.8609318996416,1583.9541218637992,,,,617540.0
2005-04-01,3022.1296952515945,172.0871722182849,946.4068036853296,919.9688164422396,,,,594492.0
2005-05-01,3200.836605890603,180.63604488078542,971.2741935483871,971.8639551192146,,,,614802.0
2005-06-01,5413.494459833795,342.60872576177286,1430.174515235457,1693.5616343490306,,,,609195.0
2005-07-01,7261.024011299435,514.0790960451977,1777.4851694915253,2209.1504237288136,,,,627961.0
2005-08-01,5316.056802244039,355.74263674614303,1517.8274894810659,1561.852033660589,,,,630904.0
2005-09-01,2836.483193277311,140.11834733893556,945.3522408963586,867.0980392156863,,,,574253.0
2005-10-01,3509.8452883263008,201.94725738396625,971.1708860759494,1188.0949367088608,,,,592712.0
2005-11-01,3701.168563300142,183.49786628733997,1083.0369843527737,1278.0945945945946,,,,566138.0
2005-12-01,5467.835893854749,309.12918994413405,1614.9546089385474,1659.8135474860335,,,,572343.0
2006-01-01,3886.165338645418,232.88379814077024,1139.5046480743692,1199.097609561753,,,,581287.0
2006-02-01,4004.0999324780555,225.41863605671844,1119.5584064821066,1218.0742741390952,,,,531247.0
2006-03-01,4722.773126266036,225.07494935854152,1280.369345037137,1410.8737339635381,,,,605217.0
2006-04-01,3947.55717118308,180.92531394580303,1115.568407138136,1150.8592200925314,,,,585351.0
2006-05-01,4273.076254180602,215.74113712374583,1155.0969899665552,1289.4809364548496,,,,602919.0
2006-06-01,5768.8216851730895,397.4356629653821,1625.6113651208361,1523.3200522534291,,,,598315.0
2006-07-01,5864.469038208169,363.09683794466406,1712.2187088274045,1503.7595520421607,,,,621244.0
2006-08-01,5003.954188481675,296.4240837696335,1470.3913612565445,1323.3350785340315,,,,628732.0
2006-09-01,4549.07572815534,262.7359223300971,1189.927508090615,1499.990938511327,,,,584937.0
2006-10-01,5612.2560646900265,296.2021563342318,1434.8685983827493,1845.295822102426,,,,611718.0
